content|translated|likes|workId|sentiment|country|platform|postTime
More nationalistic types will probably embrace the movie as a way to reinvigorate patriotic sentiments. But don’t be surprised if...|More nationalistic types will probably embrace the movie as a way to reinvigorate patriotic sentiments. But don’t be surprised if...|3|4|中立|澳大利亚|烂番茄|2023-07-11
It's an over-the-top sci-fi spectacle that doesn't lose sight of the human stories in this saga about trying to avert an outer-space disaster. In oth|It's an over-the-top sci-fi spectacle that doesn't lose sight of the human stories in this saga about trying to avert an outer-space disaster. In oth|5|4|消极|英国|烂番茄|2023-03-03
At nearly three hours, director Frant Gwo is leaning on a lot for us to care about the variety of characters involved, yet I was into it. The increas|At nearly three hours, director Frant Gwo is leaning on a lot for us to care about the variety of characters involved, yet I was into it. The increas|6|4|消极|澳大利亚|烂番茄|2023-02-02
The movie comes off as China's answer to the blockbuster sci-fi epic, and, just like many of these types of movies made in the United States, there's|The movie comes off as China's answer to the blockbuster sci-fi epic, and, just like many of these types of movies made in the United States, there's|16|4|积极|英国|烂番茄|2023-02-01
In sci-fi terms, The Wandering Earth II feels less obviously derivative of Hollywood forerunners than its predecessor, raising a number of intriguing|In sci-fi terms, The Wandering Earth II feels less obviously derivative of Hollywood forerunners than its predecessor, raising a number of intriguing|15|4|消极|马来西亚|烂番茄|2023-02-01
Continuing the elaborate ticking timebomb set-up, the movie feels brisk even at nearly three hours. And it's packed with impressively enormous effect|Continuing the elaborate ticking timebomb set-up, the movie feels brisk even at nearly three hours. And it's packed with impressively enormous effect|7|4|中立|新西兰|烂番茄|2023-01-30
Follows the “rules” of the Hollywood blockbuster. It doesn’t stand up to any kind of scrutiny, logic is thrown out of the window, but it is almost co|Follows the “rules” of the Hollywood blockbuster. It doesn’t stand up to any kind of scrutiny, logic is thrown out of the window, but it is almost co|7|4|消极|加拿大|烂番茄|2023-01-29
Even at its best, though, one still has to contend with an avalanche of bad English-language dialogue... and the non-sentient, CCP-engineered biologi|Even at its best, though, one still has to contend with an avalanche of bad English-language dialogue... and the non-sentient, CCP-engineered biologi|21|4|消极|爱尔兰|烂番茄|2023-01-28
There is so much to visually enjoy when these [actio] scenes come to life that it reminds audiences why The Wandering Earth was a genre-defining sci-|There is so much to visually enjoy when these [actio] scenes come to life that it reminds audiences why The Wandering Earth was a genre-defining sci-|36|4|消极|牙买加|烂番茄|2023-01-25
A sturdy prequel.|A sturdy prequel.|2|4|中立|牙买加|烂番茄|2023-01-25
Director Frant Gwo stages showpiece after showpiece with remarkable confidence. The filmmaking style is fluid, involving, with visual effects on a le|Director Frant Gwo stages showpiece after showpiece with remarkable confidence. The filmmaking style is fluid, involving, with visual effects on a le|7|4|消极|美国|烂番茄|2023-01-23
If you’re a fan of the first movie, this one is a must-see as it continues to deliver high-octane thrills while still maintaining a palpable emotiona|If you’re a fan of the first movie, this one is a must-see as it continues to deliver high-octane thrills while still maintaining a palpable emotiona|14|4|消极|马来西亚|烂番茄|2023-01-23
Losing all of the glee of its predecessor, the movie... offers nearly three hours of convoluted story lines, undercooked themes and a tangle of confu|Losing all of the glee of its predecessor, the movie... offers nearly three hours of convoluted story lines, undercooked themes and a tangle of confu|0|4|消极|新加坡|烂番茄|2023-01-23
One of the most exhilarating, thrilling and crowd-pleasing action adventures since RRR!|One of the most exhilarating, thrilling and crowd-pleasing action adventures since RRR!|40|4|消极|新西兰|烂番茄|2023-01-22
There is certainly much to admire about this ambitious homegrown sci-fi saga, even if it feels rather protracted with the running time clocking in 45|There is certainly much to admire about this ambitious homegrown sci-fi saga, even if it feels rather protracted with the running time clocking in 45|27|4|中立|加拿大|烂番茄|2023-01-22
A visually spectacular, though melodramatic sci-fi disaster-action drama|A visually spectacular, though melodramatic sci-fi disaster-action drama|32|4|中立|新西兰|烂番茄|2023-01-21
Entertaining enough in its action, Frant Gwo’s successor to The Wandering Earth is a bombastic, high-octane fight for survival that broadly examines |Entertaining enough in its action, Frant Gwo’s successor to The Wandering Earth is a bombastic, high-octane fight for survival that broadly examines |4|4|消极|马来西亚|烂番茄|2023-01-21
It's a drag, a Long March of a disaster epic that isn't too much of a good thing. It's just too much.|It's a drag, a Long March of a disaster epic that isn't too much of a good thing. It's just too much.|12|4|消极|澳大利亚|烂番茄|2023-01-21
While its nearly three hour running time is a detriment to keeping momentum going, The Wandering Earth II is a marked improvement over what came befo|While its nearly three hour running time is a detriment to keeping momentum going, The Wandering Earth II is a marked improvement over what came befo|8|4|消极|新加坡|烂番茄|2023-01-20
It is this combination of maximalism, nationalism, fatalism, and two-dimensional characterization that makes this one of the most enjoyable current f|It is this combination of maximalism, nationalism, fatalism, and two-dimensional characterization that makes this one of the most enjoyable current f|11|4|消极|马来西亚|烂番茄|2023-01-19
Couldn't understand WTF was going on! Turned it off by the 30 minute mark. Storyline was all OVER the place. Don't waste your time.|无法理解到底发生了什么!在30分钟的时候关掉了。故事情节太混乱了。不要浪费你的时间。|13|4|消极|马来西亚|烂番茄|2023-07-07
The best CGI I've ever seen on top of an epic sci-fi thriller. Easily now in my top 3 favorite movies.|这是我看过的科幻史诗惊悚片上最好的CGI。现在很容易成为我最喜欢的三部电影之一。|32|4|积极|澳大利亚|烂番茄|2023-07-01
They spent some money on this one. The special effects look great. Unfortunately, the movie is way too long, the acting is sub-par, the dialogue is l|他们在这上面花了一些钱。特效看起来很棒。不幸的是，这部电影太长了，表演不够好，对话也很烂|2|4|积极|牙买加|烂番茄|2023-06-26
Very good! It raise Chinese sci-fi movie industry into a higher level.|很好!它将中国科幻电影产业提升到一个更高的水平。|3|4|积极|新加坡|烂番茄|2023-06-08
The giant progress of science fiction movies, Chinese pathos.|科幻电影的巨大进步，让中国人感伤。|34|4|积极|爱尔兰|烂番茄|2023-05-28
it`s nationalistic, it`s cheesy, it`s too long, it`s illogical, it`s just an expensive mess. avoid this.|它是民族主义的，俗气的，太长了，不合逻辑的，它只是一个昂贵的混乱。避免这种情况。|30|4|消极|澳大利亚|烂番茄|2023-05-27
The 1st one was great the 2nd one even better. The backstory of WuJing's character was well written and touching and his acting has improved so much |第一个很棒，第二个更好。吴京这个角色的背景故事写得很好，很感人，他的演技也有了很大的提高|11|4|积极|加拿大|烂番茄|2023-05-23
not perfect, but great enough. the movie makes you think not just being entertained, the complicated plots combine into a complete story.|不完美，但已经足够好了。这部电影让你觉得不仅仅是娱乐，复杂的情节结合成一个完整的故事。|28|4|积极|新西兰|烂番茄|2023-05-22
Great movie! I can call it Chinese Interstellar. Quite refreshing, very nice hardcore science fiction. It has a slight problem with pacing and some m|很棒的电影!我可以叫它《中国星际穿越》。很清新，很不错的硬核科幻小说。它在速度和速度上有点小问题|10|4|积极|加拿大|烂番茄|2023-05-13
Overall amazing sci-fi, kind of like Dune in the way that it is different than most of current sci-fi/superhero big budget movies... It has a good il|总的来说，这是一部令人惊叹的科幻电影，有点像《沙丘》，与目前大多数科幻/超级英雄大制作电影不同……它有一个好的弊病|2|4|积极|马来西亚|烂番茄|2023-05-09
Went and watch this without expectation, this is how pre quel should be made. Awesome. The visual effects is 100% and story are great.|Went and watch this without expectation, this is how pre quel should be made. Awesome. The visual effects is 100% and story are great.|39|4|消极|加拿大|烂番茄|2023-05-01
Best movie of the year, super heartfelt and humanitarian sci-fi|年度最佳电影，超级真挚的人道主义科幻片|31|4|积极|新西兰|烂番茄|2023-04-28
While I still prefer the first installment, this one has a lot of things to like about it. Putting aside the few tedious USA-style flag-waving moment|虽然我仍然更喜欢第一部，但这部有很多值得喜欢的地方。抛开几个乏味的美式挥舞国旗的时刻|2|4|积极|加拿大|烂番茄|2023-04-25
Its an absolutely phenomenal movie. The storyline , the acting everything. The CGI was the best I have ever seen. 10/10 movie|这绝对是一部非凡的电影。故事情节，表演，一切。这是我看过的最好的CGI。10/10的电影|35|4|积极|新西兰|烂番茄|2023-04-22
During the selection of troops who were 50 years and over, I cried. Its good movie.|在选拔50岁以上军人的过程中，我哭了。这是一部好电影。|5|4|积极|英国|烂番茄|2023-04-22
Complicated, couldn't follow that well, but it's entertaining.|很复杂，我看不懂，但很有趣。|14|4|积极|新西兰|烂番茄|2023-04-18
It's just a Chinese CCP proganda movie . Showing the world china is the key to save the world.|It's just a Chinese CCP proganda movie . Showing the world china is the key to save the world.|3|4|消极|马来西亚|烂番茄|2023-04-17
Fantastic movie, full of amazing action, drama, and suspense. It's even better than the first movie. Great acting from Andy Lau.|精彩的电影，充满了惊人的动作，戏剧和悬念。它甚至比第一部还好。刘德华的表演很棒。|9|4|积极|英国|烂番茄|2023-04-16
A mind-blowing, yet a heart warming movie that is worth seeing!|这是一部令人兴奋的电影，也是一部值得一看的暖心电影!|29|4|积极|美国|烂番茄|2023-04-16
I did watch two science fiction films recently, one was Avatar and the other was an early viewing of Wandering Earth. These two films are about the s|我最近确实看了两部科幻片，一部是《阿凡达》，另一部是《流浪地球》的早期观影。这两部电影都是关于美国的|9|4|积极|加拿大|烂番茄|2023-04-16
A very good movie, the completion is different from the beautiful heroism, the theme of saving the earth.|一部非常好的电影，完成了不同于美丽的英雄主义，拯救地球的主题。|28|4|积极|美国|烂番茄|2023-04-15
Absolutely fantastic. Visual effects are super good, the sound and the actors are all just superb. As a Chinese sci-fi movie, it is groundbreaking an|绝对精彩。视觉效果超级好，声音和演员都是一流的。作为一部中国科幻电影，它具有开创性|35|4|积极|马来西亚|烂番茄|2023-04-14
Very good! I like it! A different Chinese movie.Hope to see more different Chinese movies|很好!我喜欢!一部不同的中国电影。希望能看到更多不同的中国电影|0|4|积极|美国|烂番茄|2023-03-31
It's the best sci-fi movie I've ever seen.|这是我看过的最好的科幻电影。|39|4|积极|爱尔兰|烂番茄|2023-03-27
This a really good movie!!!!! I've watched it 3 times yet I still want to watch it again!!! The story was very moving. And the idea of taking earth w|这是一部非常好的电影!!!!!我已经看了三遍了，我还想再看一遍!!这个故事很感人。把地球w|23|4|积极|牙买加|烂番茄|2023-03-20
I must say that this is a pretty good movie! It moved me a lot and I nearly cried during the movie ( I said nearly just because it's usually very har|我必须说这是一部相当不错的电影!它让我很感动，在看电影的时候我几乎哭了(我说几乎是因为它通常很辛苦|32|4|积极|加拿大|烂番茄|2023-03-20
A great, very sincere sci-fi movie.|一部伟大的，非常真诚的科幻电影。|21|4|积极|新加坡|烂番茄|2023-03-18
This is a movie of profound significance to Chinese science fiction, as long as you watch it once, you will want to watch it again.|这是一部对中国科幻片意义深远的电影，只要你看一次，你就会想再看一遍。|17|4|积极|爱尔兰|烂番茄|2023-03-18
Overall, it answered most of the question for its sequel. I watched both movies twice just to make sure I didn't miss any important detail. The more |Overall, it answered most of the question for its sequel. I watched both movies twice just to make sure I didn't miss any important detail. The more |28|4|消极|美国|烂番茄|2023-03-16
Personally, when I saw the first film I was bored and didn't seem that interested until I watched this one which was supposedly taking place before t|就我个人而言，当我看第一部电影的时候，我觉得很无聊，直到我看了这部据说发生在第一部之前的电影，我才显得那么感兴趣|27|4|积极|牙买加|烂番茄|2023-03-13
This sci-fi movie manages to tell a pretty attractive story with good visual effects, and it comes from China. It's nice to see new competition in th|这部科幻电影以出色的视觉效果讲述了一个非常吸引人的故事，而且它来自中国。很高兴看到新的竞争对手|38|4|积极|加拿大|烂番茄|2023-03-02
The best space sci-fi film of the past 20 years, definitely not to be missed.|过去20年来最好的太空科幻电影，绝对不容错过。|37|4|积极|加拿大|烂番茄|2023-03-01
Honestly, I haven't watched a great sci-fi movie like this one since years ago. The core value, unlike traditional American movies which focus on ind|老实说，我好几年前就没看过这么棒的科幻电影了。它的核心价值，不像传统的美国电影以精神为中心|7|4|积极|加拿大|烂番茄|2023-02-28
Best Chinese Sci-Fi Movie by far|迄今为止最好的中国科幻电影|35|4|积极|爱尔兰|烂番茄|2023-02-26
Amazing Movie. fantastic CG. Characters are very touching.|Amazing Movie. fantastic CG. Characters are very touching.|9|4|消极|新加坡|烂番茄|2023-02-26
As sci-fi movie fan, I watched the 1st episode and was kind of disappointed by the way how storyline and effects were presented. So, when 2nd was up,|作为一个科幻电影迷，我看了第一集，对故事情节和效果的呈现方式有点失望。所以，当第2点上升时，|27|4|积极|新西兰|烂番茄|2023-02-25
This movie totally exceeded all my expectations! The worldview here is nothing short of epic. I also like the part where humanity unite to survive th|这部电影完全超出了我的预期!这里的世界观简直就是史诗。我也喜欢人类团结起来共同生存的那部分|1|4|积极|加拿大|烂番茄|2023-02-24
